iter	Passed	Remaining
870	1877	278
871	1878	275
872	1880	273
873	1882	271
874	1884	269
875	1886	267
876	1888	264
877	1890	262
878	1892	260
879	1894	258
880	1896	256
881	1898	253
882	1900	251
883	1902	249
884	1903	247
885	1905	245
886	1907	243
887	1909	240
888	1911	238
889	1914	236
890	1917	234
891	1919	232
892	1921	230
893	1924	228
894	1926	225
895	1928	223
896	1931	221
897	1933	219
898	1934	217
899	1936	215
900	1938	212
901	1939	210
902	1941	208
903	1944	206
904	1946	204
905	1948	202
906	1949	199
907	1951	197
908	1953	195
909	1955	193
910	1959	191
911	1961	189
912	1963	187
913	1964	184
914	1966	182
915	1968	180
916	1970	178
917	1972	176
918	1974	174
919	1976	171
920	1978	169
921	1980	167
922	1982	165
923	1985	163
924	1986	161
925	1990	159
926	1992	156
927	1995	154
928	1997	152
929	1999	150
930	2002	148
931	2004	146
932	2006	144
933	2008	141
934	2010	139
935	2012	137
936	2014	135
937	2017	133
938	2019	131
939	2021	129
940	2023	126
941	2025	124
942	2026	122
943	2028	120
944	2030	118
945	2032	116
946	2035	113
947	2036	111
948	2038	109
949	2040	107
950	2042	105
951	2043	103
952	2045	100
953	2047	98
954	2049	96
955	2051	94
956	2053	92
957	2055	90
958	2056	87
959	2058	85
960	2060	83
961	2062	81
962	2064	79
963	2066	77
964	2068	75
965	2069	72
966	2071	70
967	2072	68
968	2074	66
969	2076	64
970	2078	62
971	2080	59
972	2082	57
973	2084	55
974	2085	53
975	2087	51
976	2089	49
977	2090	47
978	2092	44
979	2094	42
980	2096	40
981	2097	38
982	2099	36
983	2100	34
984	2102	32
985	2104	29
986	2105	27
987	2107	25
988	2110	23
989	2111	21
990	2113	19
991	2115	17
992	2116	14
993	2118	12
994	2120	10
995	2122	8
996	2124	6
997	2126	4
998	2128	2
999	2129	0
